descricao,ano,valor,nome_mes
INTERNET - LOJAS,2020,320,janeiro
TELEFONE - LOJAS,2020,269.68,fevereiro
TELEFONE - LOJAS,2020,269.31,março
TELEFONE - LOJAS,2020,263.81,janeiro
DESPESA COM SEGURANÇA,2020,231.12,março
MATERIAL DE ESCRITORIO,2020,217.5,fevereiro
"MATERIAL DE LIMPEZA, CONSUMO E MANUTENÇAO - LOJAS",2020,215.4,julho
TELEFONE - LOJAS,2020,211.41,abril
TELEFONE - LOJAS,2020,209.9,junho
TELEFONE - LOJAS,2020,208.49,julho
TELEFONE - LOJAS,2020,206.2,maio
MATERIAL DE ESCRITORIO,2020,181.12,março
,2020,172.8,janeiro
INTERNET - LOJAS,2020,165.06,março
OUTRAS DESPESAS,2020,160.4,abril
,2020,156.6,maio
DESPESAS DE VEICULOS,2020,150,abril
OUTRAS DESPESAS - SÓCIO,2020,150,fevereiro
,2020,137.9,julho
AGUA MINERAL,2020,130,janeiro
TAXI,2020,112.7,março
MATERIAL DE ESCRITORIO,2020,111,janeiro
OUTRAS DESPESAS,2020,95,maio
PRODUTIVIDADE,2020,93.25,março
TAXI,2020,86.78,fevereiro
"MATERIAL DE LIMPEZA, CONSUMO E MANUTENÇAO - LOJAS",2020,82,janeiro
ICMS SUBSTITUIÇÃO TRIBUTARIA,2020,80.44,abril
AGUA MINERAL,2020,80,fevereiro
AGUA MINERAL,2020,80,julho
DESPESA COM TRANSPORTE,2020,73.2,janeiro
AGUA MINERAL,2020,70,março
OUTRAS DESPESAS,2020,65.6,fevereiro
"MATERIAL DE LIMPEZA, CONSUMO E MANUTENÇAO - LOJAS",2020,63,junho
AGUA MINERAL,2020,60,junho
OUTROS,2020,50,julho
ASSISTENCIA MEDICA,2020,42,janeiro
CORREIOS E SEDEX,2020,35.8,julho
OUTROS,2020,25,abril
DESPESA COM TRANSPORTE,2020,12,julho
VALE-TRANSPORTE,2020,10,abril
AGUA MINERAL,2020,9,maio
DESPESA COM TRANSPORTE,2020,5,março
RESCISÃO DE CONTRATO,2020,4.49,janeiro
AGUA E LUZ - LOJAS,2020,4.19,junho
